distanceKm,energyConsumedKwh,startTime,endTime
500.0,50.0,2024-11-01T08:00:00,2024-11-01T16:00:00
500.0,50.0,2024-11-02T08:00:00,2024-11-02T16:00:00
500.0,50.0,2024-11-03T08:00:00,2024-11-03T16:00:00
500.0,50.0,2024-11-04T08:00:00,2024-11-04T16:00:00
500.0,50.0,2024-11-05T08:00:00,2024-11-05T16:00:00
500.0,50.0,2024-11-06T08:00:00,2024-11-06T16:00:00
500.0,50.0,2024-11-07T08:00:00,2024-11-07T16:00:00
500.0,50.0,2024-11-08T08:00:00,2024-11-08T16:00:00
500.0,50.0,2024-11-09T08:00:00,2024-11-09T16:00:00
500.0,50.0,2024-11-10T08:00:00,2024-11-10T16:00:00
500.0,50.0,2024-11-11T08:00:00,2024-11-11T16:00:00
500.0,50.0,2024-11-12T08:00:00,2024-11-12T16:00:00
500.0,50.0,2024-11-13T08:00:00,2024-11-13T16:00:00
500.0,50.0,2024-11-14T08:00:00,2024-11-14T16:00:00
500.0,50.0,2024-11-15T08:00:00,2024-11-15T16:00:00
500.0,50.0,2024-11-16T08:00:00,2024-11-16T16:00:00
500.0,50.0,2024-11-17T08:00:00,2024-11-17T16:00:00
500.0,50.0,2024-11-18T08:00:00,2024-11-18T16:00:00

