 distanceKm,energyConsumedKwh,startTime,endTime
500.0,50.0,2024-09-01T08:00:00,2024-09-01T16:00:00
500.0,50.0,2024-09-02T08:00:00,2024-09-02T16:00:00
500.0,50.0,2024-09-03T08:00:00,2024-09-03T16:00:00
500.0,50.0,2024-09-04T08:00:00,2024-09-04T16:00:00
500.0,50.0,2024-09-05T08:00:00,2024-09-05T16:00:00
500.0,50.0,2024-09-06T08:00:00,2024-09-06T16:00:00
500.0,50.0,2024-09-07T08:00:00,2024-09-07T16:00:00
500.0,50.0,2024-09-08T08:00:00,2024-09-08T16:00:00
500.0,50.0,2024-09-09T08:00:00,2024-09-09T16:00:00
500.0,50.0,2024-09-10T08:00:00,2024-09-10T16:00:00
500.0,50.0,2024-09-11T08:00:00,2024-09-11T16:00:00
500.0,50.0,2024-09-12T08:00:00,2024-09-12T16:00:00
500.0,50.0,2024-09-13T08:00:00,2024-09-13T16:00:00
500.0,50.0,2024-09-14T08:00:00,2024-09-14T16:00:00
500.0,50.0,2024-09-15T08:00:00,2024-09-15T16:00:00
500.0,50.0,2024-09-16T08:00:00,2024-09-16T16:00:00
500.0,50.0,2024-09-17T08:00:00,2024-09-17T16:00:00
500.0,50.0,2024-09-18T08:00:00,2024-09-18T16:00:00
500.0,50.0,2024-09-19T08:00:00,2024-09-19T16:00:00
500.0,50.0,2024-09-20T08:00:00,2024-09-20T16:00:00
500.0,50.0,2024-09-21T08:00:00,2024-09-21T16:00:00
500.0,50.0,2024-09-22T08:00:00,2024-09-22T16:00:00
500.0,50.0,2024-09-23T08:00:00,2024-09-23T16:00:00
500.0,50.0,2024-09-24T08:00:00,2024-09-24T16:00:00
500.0,50.0,2024-09-25T08:00:00,2024-09-25T16:00:00
500.0,50.0,2024-09-26T08:00:00,2024-09-26T16:00:00
500.0,50.0,2024-09-27T08:00:00,2024-09-27T16:00:00
500.0,50.0,2024-09-28T08:00:00,2024-09-28T16:00:00
500.0,50.0,2024-09-29T08:00:00,2024-09-29T16:00:00
500.0,50.0,2024-09-30T08:00:00,2024-09-30T16:00:00
500.0,50.0,2024-08-01T08:00:00,2024-08-01T16:00:00
500.0,50.0,2024-08-02T08:00:00,2024-08-02T16:00:00
500.0,50.0,2024-08-03T08:00:00,2024-08-03T16:00:00
500.0,50.0,2024-08-04T08:00:00,2024-08-04T16:00:00
500.0,50.0,2024-08-05T08:00:00,2024-08-05T16:00:00
500.0,50.0,2024-08-06T08:00:00,2024-08-06T16:00:00
500.0,50.0,2024-08-07T08:00:00,2024-08-07T16:00:00
500.0,50.0,2024-08-08T08:00:00,2024-08-08T16:00:00
500.0,50.0,2024-08-09T08:00:00,2024-08-09T16:00:00
500.0,50.0,2024-08-10T08:00:00,2024-08-10T16:00:00
500.0,50.0,2024-08-11T08:00:00,2024-08-11T16:00:00
500.0,50.0,2024-08-12T08:00:00,2024-08-12T16:00:00
500.0,50.0,2024-08-13T08:00:00,2024-08-13T16:00:00
500.0,50.0,2024-08-14T08:00:00,2024-08-14T16:00:00
500.0,50.0,2024-08-15T08:00:00,2024-08-15T16:00:00

