distanceKm,energyConsumedKwh,startTime,endTime
500.0,50.0,2024-07-01T08:00:00,2024-07-01T16:00:00
500.0,50.0,2024-07-02T08:00:00,2024-07-02T16:00:00
500.0,50.0,2024-07-03T08:00:00,2024-07-03T16:00:00
500.0,50.0,2024-07-04T08:00:00,2024-07-04T16:00:00
500.0,50.0,2024-07-05T08:00:00,2024-07-05T16:00:00
500.0,50.0,2024-07-06T08:00:00,2024-07-06T16:00:00
500.0,50.0,2024-07-07T08:00:00,2024-07-07T16:00:00
500.0,50.0,2024-07-08T08:00:00,2024-07-08T16:00:00
500.0,50.0,2024-07-09T08:00:00,2024-07-09T16:00:00
500.0,50.0,2024-07-10T08:00:00,2024-07-10T16:00:00
500.0,50.0,2024-07-11T08:00:00,2024-07-11T16:00:00
500.0,50.0,2024-07-12T08:00:00,2024-07-12T16:00:00
500.0,50.0,2024-07-13T08:00:00,2024-07-13T16:00:00
500.0,50.0,2024-07-14T08:00:00,2024-07-14T16:00:00
500.0,50.0,2024-07-15T08:00:00,2024-07-15T16:00:00
500.0,50.0,2024-07-16T08:00:00,2024-07-16T16:00:00
500.0,50.0,2024-07-17T08:00:00,2024-07-17T16:00:00
500.0,50.0,2024-07-18T08:00:00,2024-07-18T16:00:00
500.0,50.0,2024-07-19T08:00:00,2024-07-19T16:00:00
500.0,50.0,2024-07-20T08:00:00,2024-07-20T16:00:00
500.0,50.0,2024-07-21T08:00:00,2024-07-21T16:00:00
500.0,50.0,2024-07-22T08:00:00,2024-07-22T16:00:00
500.0,50.0,2024-07-23T08:00:00,2024-07-23T16:00:00
500.0,50.0,2024-07-24T08:00:00,2024-07-24T16:00:00
500.0,50.0,2024-07-25T08:00:00,2024-07-25T16:00:00
500.0,50.0,2024-07-26T08:00:00,2024-07-26T16:00:00
500.0,50.0,2024-07-27T08:00:00,2024-07-27T16:00:00
500.0,50.0,2024-07-28T08:00:00,2024-07-28T16:00:00
500.0,50.0,2024-07-29T08:00:00,2024-07-29T16:00:00
500.0,50.0,2024-07-30T08:00:00,2024-07-30T16:00:00
500.0,50.0,2024-07-31T08:00:00,2024-07-31T16:00:00
500.0,50.0,2024-06-01T08:00:00,2024-06-01T16:00:00
500.0,50.0,2024-06-02T08:00:00,2024-06-02T16:00:00
500.0,50.0,2024-06-03T08:00:00,2024-06-03T16:00:00
500.0,50.0,2024-06-04T08:00:00,2024-06-04T16:00:00
500.0,50.0,2024-06-05T08:00:00,2024-06-05T16:00:00
500.0,50.0,2024-06-06T08:00:00,2024-06-06T16:00:00
500.0,50.0,2024-06-07T08:00:00,2024-06-07T16:00:00
500.0,50.0,2024-06-08T08:00:00,2024-06-08T16:00:00
500.0,50.0,2024-06-09T08:00:00,2024-06-09T16:00:00
500.0,50.0,2024-06-10T08:00:00,2024-06-10T16:00:00
500.0,50.0,2024-06-11T08:00:00,2024-06-11T16:00:00
500.0,50.0,2024-06-12T08:00:00,2024-06-12T16:00:00
500.0,50.0,2024-06-13T08:00:00,2024-06-13T16:00:00
500.0,50.0,2024-06-14T08:00:00,2024-06-14T16:00:00
500.0,50.0,2024-06-15T08:00:00,2024-06-15T16:00:00
500.0,50.0,2024-06-16T08:00:00,2024-06-16T16:00:00
500.0,50.0,2024-06-17T08:00:00,2024-06-17T16:00:00
500.0,50.0,2024-06-18T08:00:00,2024-06-18T16:00:00
500.0,50.0,2024-06-19T08:00:00,2024-06-19T16:00:00
500.0,50.0,2024-06-20T08:00:00,2024-06-20T16:00:00
500.0,50.0,2024-06-21T08:00:00,2024-06-21T16:00:00
500.0,50.0,2024-06-22T08:00:00,2024-06-22T16:00:00
500.0,50.0,2024-06-23T08:00:00,2024-06-23T16:00:00
500.0,50.0,2024-06-24T08:00:00,2024-06-24T16:00:00
500.0,50.0,2024-06-25T08:00:00,2024-06-25T16:00:00
500.0,50.0,2024-06-26T08:00:00,2024-06-26T16:00:00
500.0,50.0,2024-06-27T08:00:00,2024-06-27T16:00:00
500.0,50.0,2024-06-28T08:00:00,2024-06-28T16:00:00
500.0,50.0,2024-06-29T08:00:00,2024-06-29T16:00:00
500.0,50.0,2024-06-30T08:00:00,2024-06-30T16:00:00
500.0,50.0,2024-05-01T08:00:00,2024-05-01T16:00:00
500.0,50.0,2024-05-02T08:00:00,2024-05-02T16:00:00
500.0,50.0,2024-05-03T08:00:00,2024-05-03T16:00:00
500.0,50.0,2024-05-04T08:00:00,2024-05-04T16:00:00
500.0,50.0,2024-05-05T08:00:00,2024-05-05T16:00:00
500.0,50.0,2024-05-06T08:00:00,2024-05-06T16:00:00
500.0,50.0,2024-05-07T08:00:00,2024-05-07T16:00:00
500.0,50.0,2024-05-08T08:00:00,2024-05-08T16:00:00
500.0,50.0,2024-05-09T08:00:00,2024-05-09T16:00:00
500.0,50.0,2024-05-10T08:00:00,2024-05-10T16:00:00
500.0,50.0,2024-05-11T08:00:00,2024-05-11T16:00:00
500.0,50.0,2024-05-12T08:00:00,2024-05-12T16:00:00
500.0,50.0,2024-05-13T08:00:00,2024-05-13T16:00:00
500.0,50.0,2024-05-14T08:00:00,2024-05-14T16:00:00
500.0,50.0,2024-05-15T08:00:00,2024-05-15T16:00:00

